"Date","Price","Open","High","Low","Vol.","Change %"
"07/08/1979","102.32","103.62","105.17","101.49","183.70M","-1.25%"
"07/01/1979","103.62","102.91","103.91","101.31","132.59M","0.69%"
"06/24/1979","102.91","102.64","103.67","101.22","175.89M","0.26%"
"06/17/1979","102.64","102.09","103.16","100.91","168.44M","0.54%"
"06/10/1979","102.09","101.49","103.64","100.91","193.05M","0.59%"
"06/03/1979","101.49","99.17","102.54","98.61","173.77M","2.34%"
"05/27/1979","99.17","100.22","100.76","98.29","111.15M","-1.05%"
"05/20/1979","100.22","99.93","101.31","99.14","139.86M","0.29%"
"05/13/1979","99.93","98.52","100.73","97.49","134.13M","1.43%"
"05/06/1979","98.52","100.37","100.37","97.92","140.11M","-2.16%"
"04/29/1979","100.69","101.80","102.57","100.42","149.49M","-1.09%"
"04/22/1979","101.80","101.23","103.07","100.68","154.91M","0.56%"
"04/15/1979","101.23","102.00","102.40","100.46","146.80M","-0.75%"
"04/08/1979","102.00","103.18","103.83","101.51","118.81M","-1.14%"
"04/01/1979","103.18","101.56","103.95","100.14","173.69M","1.57%"
"03/25/1979","101.59","101.60","103.31","100.60","154.77M","-0.01%"
"03/18/1979","101.60","100.69","102.41","99.87","160.87M","0.90%"
"03/11/1979","100.69","99.54","101.16","98.56","142.68M","1.16%"
"03/04/1979","99.54","97.03","100.58","97.03","144.52M","2.65%"
"02/25/1979","96.97","97.78","98.28","95.38","126.14M","-0.83%"
"02/18/1979","97.78","98.67","100.07","97.29","97.10M","-0.90%"
"02/11/1979","98.67","97.87","99.64","97.05","119.96M","0.82%"
"02/04/1979","97.87","99.07","99.07","96.51","126.19M","-1.64%"
"01/28/1979","99.50","101.86","102.33","99.01","134.69M","-2.32%"
"01/21/1979","101.86","99.75","102.59","98.90","151.92M","2.12%"
"01/14/1979","99.75","99.93","101.13","98.33","137.23M","-0.18%"
"01/07/1979","99.93","99.13","100.91","97.83","135.47M","0.81%"
"12/31/1978","99.13","96.11","99.79","95.22","109.70M","3.14%"
"12/24/1978","96.11","96.31","97.89","95.48","100.52M","-0.21%"
"12/17/1978","96.31","94.33","96.62","92.64","137.84M","1.03%"
"12/10/1978","95.33","96.63","97.58","94.88","110.15M","-1.35%"
"12/03/1978","96.63","96.28","98.58","95.37","117.10M","0.36%"
"11/26/1978","96.28","95.79","96.69","93.29","110.42M","0.51%"
"11/19/1978","95.79","94.42","96.17","94.29","79.79M","1.45%"
"11/12/1978","94.42","94.77","95.03","91.77","124.36M","-0.37%"
"11/05/1978","94.77","96.18","96.49","92.89","109.40M","-1.47%"
"10/29/1978","96.18","94.59","97.41","91.65","219.67M","1.68%"
"10/22/1978","94.59","97.95","98.95","94.30","168.70M","-3.43%"
"10/15/1978","97.95","104.63","104.63","97.12","170.89M","-6.41%"
"10/08/1978","104.66","103.52","106.23","103.31","119.02M","1.10%"
"10/01/1978","103.52","102.54","104.23","101.76","121.53M","0.96%"
"09/24/1978","102.54","101.84","103.44","100.94","123.67M","0.69%"
"09/17/1978","101.84","104.12","105.03","100.66","164.20M","-2.19%"
"09/10/1978","104.12","106.79","108.05","103.56","192.10M","-2.50%"
"09/03/1978","106.79","103.68","107.19","103.31","157.25M","3.00%"
"08/27/1978","103.68","104.90","105.14","102.63","172.21M","-1.16%"
"08/20/1978","104.90","104.73","105.86","103.14","173.38M","0.16%"
"08/13/1978","104.73","103.96","106.27","102.86","178.12M","0.74%"
"08/06/1978","103.96","103.92","105.72","102.60","189.75M","0.04%"
"07/30/1978","103.92","100.00","105.41","99.37","220.55M","3.92%"
"07/23/1978","100.00","97.75","100.51","96.72","152.87M","2.30%"
"07/16/1978","97.75","97.58","99.18","96.52","142.30M","0.17%"
"07/09/1978","97.58","94.89","97.88","94.28","128.57M","2.83%"
"07/02/1978","94.89","95.53","95.65","93.59","83.76M","-0.67%"
"06/25/1978","95.53","95.85","96.26","93.99","121.55M","-0.33%"
"06/18/1978","95.85","97.42","97.94","95.42","138.21M","-1.61%"
"06/11/1978","97.42","99.93","100.68","97.10","149.46M","-2.51%"
"06/04/1978","99.93","98.14","101.84","97.97","196.46M","1.82%"
"05/28/1978","98.14","96.58","98.52","95.95","110.72M","1.62%"
"05/21/1978","96.58","98.12","99.43","96.01","143.18M","-1.57%"
"05/14/1978","98.12","98.07","100.32","97.40","204.18M","0.05%"
"05/07/1978","98.07","96.53","98.89","95.33","182.10M","1.60%"
"04/30/1978","96.53","96.83","98.30","94.57","196.18M","-0.31%"
"04/23/1978","96.83","94.34","97.91","94.08","203.06M","2.64%"
"04/16/1978","94.34","93.60","95.89","92.75","212.29M","1.53%"
"04/09/1978","92.92","90.17","93.31","89.65","160.11M","3.05%"
"04/02/1978","90.17","89.20","90.59","88.07","120.14M","1.08%"
"03/26/1978","89.21","89.36","90.17","88.47","106.51M","-0.17%"
"03/19/1978","89.36","90.20","91.35","88.83","96.01M","-0.93%"
"03/12/1978","90.20","88.88","90.52","88.21","125.58M","1.49%"
"03/05/1978","88.88","87.45","89.25","86.48","108.07M","1.64%"
